-0.956,0.639,-0.66,-0.981,-0.818,0.081,-0.857,0.703,0.904,0.756,4.818,0.0
0.857,0.107,-0.082,-0.494,0.397,0.429,-0.24,-0.402,0.174,-0.654,6.645,0.0
-0.641,0.875,0.069,0.923,0.676,0.12,-0.552,-0.976,-0.664,0.282,4.261,0.0
-0.204,-0.692,-0.073,0.026,-0.827,0.598,0.831,-0.031,0.8,-0.991,4.775,0.0
0.376,-0.637,-0.053,-0.562,-0.555,0.171,0.366,-0.583,0.984,0.355,6.452,0.0
0.437,0.482,0.85,0.47,0.756,0.135,-0.936,0.687,-0.075,0.487,5.139,0.0
0.561,-0.834,0.968,-0.243,-0.268,0.89,0.996,-0.267,-0.823,-0.627,6.681,0.0
-0.965,0.131,-0.603,0.065,0.976,0.522,0.639,-0.864,-0.919,-0.673,1.056,0.0
-0.055,0.422,-0.698,0.919,-0.201,-0.014,0.001,-0.983,-0.721,0.549,1.948,0.0
0.568,-0.343,0.043,-0.603,-0.156,-0.153,0.195,0.74,0.986,0.932,0.807,0.9963
-0.208,-0.109,-0.67,0.615,-0.325,-0.381,0.224,0.372,-0.417,-0.301,6.838,0.0
-0.9,-0.764,-0.186,-0.632,0.96,0.01,-0.119,0.374,0.178,-0.353,4.739,0.0
-0.841,0.972,-0.332,-0.467,-0.527,0.122,-0.995,0.525,-0.239,0.71,2.512,0.0
-0.217,-0.756,0.831,-0.022,0.341,-0.139,-0.787,0.442,-0.782,0.789,6.252,0.0
0.413,-0.566,0.825,-0.232,-0.228,-0.822,0.718,0.609,0.03,0.08,0.864,0.63584
-0.338,0.163,-0.404,-0.044,0.233,-0.227,0.007,0.739,-0.513,0.147,3.833,0.0
-0.517,0.848,-0.453,-0.003,0.279,0.728,0.792,0.533,0.034,-0.558,5.424,0.0
0.128,0.826,-0.738,-0.28,0.41,-0.786,0.787,-0.999,0.283,0.919,0.942,0.01015
-0.257,0.141,0.935,-0.991,0.147,0.416,0.007,0.171,-0.177,0.612,0.899,0.00871
0.677,0.237,0.989,-0.807,0.339,-0.217,0.589,-0.695,-0.3,0.953,2.434,0.0
-0.111,0.542,-0.237,0.22,-0.945,0.571,0.109,0.906,-0.002,0.164,4.803,0.0
-0.37,0.456,-0.819,0.793,0.333,0.967,0.082,-0.903,0.03,0.921,4.061,0.0
-0.346,0.299,0.347,-0.238,0.603,0.11,-0.973,0.813,0.019,0.626,4.075,0.0
-0.424,-0.124,0.842,-0.742,-0.306,0.309,-0.989,-0.604,-0.532,-0.564,2.569,0.0
-0.558,0.822,0.735,0.155,0.517,0.43,-0.448,-0.426,-0.859,0.753,6.845,0.0
-0.383,-0.228,0.891,-0.935,0.777,0.546,0.737,-0.521,0.884,-0.367,1.242,7e-05
0.312,0.775,0.085,0.863,-0.572,-0.107,-0.064,0.662,-0.783,-0.305,0.814,0.10051
0.374,-0.55,0.55,0.858,0.142,-0.001,0.899,0.728,-0.072,0.88,0.443,1.0
0.9,0.171,-0.274,0.386,-0.424,0.787,0.347,0.747,-0.868,-0.492,6.524,0.0
0.666,-0.767,0.078,0.769,-0.741,-0.161,0.044,0.479,0.858,-0.148,2.034,0.0
0.142,-0.946,0.827,-0.084,0.155,0.841,-0.089,-0.307,-0.771,0.384,3.34,0.0
0.5,0.218,0.409,-0.07,0.392,-0.156,0.151,-0.685,0.013,-0.426,1.342,0.0
-0.414,0.041,0.158,-0.321,0.972,-0.433,0.118,-0.051,-0.751,0.31,6.309,0.0
0.937,0.309,0.365,0.065,0.196,-0.085,0.849,0.129,0.749,-0.651,2.248,0.02086
-0.333,-0.961,-0.24,0.566,0.411,-0.013,-0.117,0.441,-0.172,-0.066,4.896,0.0
-0.835,0.278,0.881,0.353,-0.579,0.43,0.065,-0.32,0.134,0.364,4.175,0.0
0.761,-0.939,0.16,-0.536,-0.604,-0.468,-0.679,-0.9,-0.526,0.013,3.44,0.0
-1.0,0.622,0.338,-0.201,-0.046,-0.789,0.758,0.105,-0.401,0.34,3.711,0.0
0.474,0.258,0.099,0.964,-0.236,-0.081,-0.509,0.438,0.85,0.471,0.814,0.76766
0.48,0.075,-0.468,-0.525,-0.116,-0.814,0.654,0.191,-0.898,0.109,4.546,0.0
0.468,0.029,0.053,-0.558,0.356,-0.33,0.294,-0.289,-0.928,-0.987,3.526,0.0
0.588,0.811,0.988,0.676,0.811,0.993,0.15,-0.598,-0.143,-0.282,5.353,0.0
0.253,0.43,0.161,-0.876,-0.807,0.369,-0.469,-0.103,-0.432,0.66,1.613,0.0
-0.981,-0.484,-0.334,-0.841,-0.003,0.453,0.699,0.198,-0.007,0.212,1.72,0.0
0.538,-0.471,0.202,0.464,-0.885,0.417,0.498,0.9,0.548,-0.5,0.914,0.9871
0.169,-0.117,0.915,0.438,-0.696,-0.489,-0.856,-0.829,0.756,-0.193,1.078,0.0
0.492,0.825,0.936,0.557,-0.852,-0.357,-0.331,-0.73,0.215,-0.378,5.738,0.0
-0.522,0.104,-0.103,0.326,-0.188,-0.607,0.115,-0.783,0.97,0.97,3.083,0.0
-0.902,-0.369,-0.768,-0.317,-0.206,-0.685,-0.551,0.165,0.908,-0.416,1.142,0.0
0.729,-0.074,-0.229,0.264,0.769,-0.527,-0.261,-0.719,-0.349,-0.64,6.131,0.0
-0.656,0.407,0.331,-0.754,0.997,0.332,-0.243,-0.061,0.204,-0.785,5.603,0.0
