-0.504,0.726,-0.592,-0.194,-0.052,0.754,0.699,-0.082,2.845,0.0
-0.907,-0.005,-0.612,-0.365,0.188,-0.071,0.745,-0.545,3.307,0.0
-0.185,0.796,0.002,-0.297,0.341,-0.619,0.751,-0.965,1.585,0.0
0.743,-0.388,0.781,-0.812,-0.247,0.026,-0.423,0.579,1.939,0.0
-0.77,-0.212,0.545,-0.315,-0.357,-0.526,-0.878,-0.106,4.016,0.0
0.576,-0.14,0.951,-0.823,0.964,0.82,0.711,-0.771,4.226,0.0
0.984,0.246,-0.548,0.302,-0.147,-0.876,-0.344,-0.004,3.458,0.0
0.389,-0.272,-0.584,-0.191,0.45,0.337,-0.831,-0.052,5.979,0.0
-0.143,-0.828,0.576,-0.377,0.43,0.674,-0.451,-0.135,3.253,0.0
-0.843,0.359,-0.871,0.683,0.611,0.552,0.943,0.233,1.429,0.03065
-0.228,-0.613,0.123,-0.997,0.054,0.871,-0.187,-0.222,2.473,0.0
0.734,0.387,0.49,-0.09,-0.014,0.266,-0.248,-0.188,3.842,0.0
0.467,-0.584,-0.602,0.224,0.709,-0.802,-0.678,0.189,1.993,0.0
0.729,0.006,0.166,-0.995,-0.764,0.896,0.803,-0.47,0.144,0.92293
0.12,-0.202,-0.309,-0.412,-0.258,-0.846,0.816,0.869,1.207,0.11431
0.282,0.783,0.541,-0.183,-0.811,0.659,0.553,0.055,3.145,0.0
-0.886,-0.217,-0.214,-0.821,-0.456,-0.105,-0.003,-0.734,-1.177,0.03691
-0.705,-0.698,0.878,-0.224,0.618,0.249,-0.949,0.933,3.53,0.0
-0.903,-0.883,0.655,0.394,-0.32,0.541,0.325,0.348,1.231,0.0
-0.749,-0.754,0.7,0.328,0.448,0.703,-0.409,-0.178,4.862,0.0
-0.018,-0.068,0.783,0.24,0.151,0.452,-0.05,-0.574,4.91,0.0
-0.207,-0.439,-0.606,-0.987,-0.949,-0.932,0.001,-0.441,5.48,0.0
-0.042,-0.406,-0.588,-0.75,-0.23,0.984,-0.901,-0.416,0.246,0.0
0.816,-0.688,0.608,-0.047,0.952,0.979,-0.349,0.847,4.976,0.0
0.376,0.263,0.776,0.838,-0.745,-0.022,0.325,0.535,4.826,0.0
0.98,0.963,-0.292,-0.168,0.997,-0.963,-0.893,0.856,2.899,0.0
-0.75,-0.192,-0.614,0.025,-0.627,0.885,0.461,0.827,3.968,0.0
0.862,0.839,-0.114,0.241,0.622,-0.549,0.396,0.56,1.297,0.89085
0.504,-0.908,-0.963,-0.024,0.484,-0.365,-0.323,-0.196,0.984,0.0
-0.21,0.992,0.623,-0.06,0.221,0.831,0.645,0.84,2.473,0.11941
0.389,0.833,-0.982,-0.402,0.364,-0.183,0.599,-0.908,2.485,0.0
0.641,-0.715,-0.671,-0.342,0.101,-0.948,0.878,-0.459,3.902,0.0
-0.497,-0.785,-0.668,0.15,0.945,-0.773,0.55,-0.649,3.338,0.0
-0.653,-0.18,0.053,0.826,0.068,-0.508,0.153,-0.772,3.488,0.0
-0.858,0.114,0.42,0.961,-0.063,-0.454,0.884,-0.214,4.76,0.0
0.126,-0.692,-0.518,0.287,-0.296,0.539,-0.495,-0.285,5.042,0.0
0.79,0.65,0.477,0.424,0.779,0.267,0.178,-0.793,0.312,0.90737
-0.536,0.145,-0.597,-0.609,0.754,-0.402,0.734,-0.375,4.988,0.0
0.679,-0.907,-0.835,0.233,-0.196,0.693,0.636,-0.768,3.235,0.0
0.335,0.962,0.081,-0.461,-0.343,-0.205,-0.918,0.136,3.133,0.0
0.301,0.429,0.037,-0.628,0.423,0.467,0.707,-0.852,4.298,0.0
-0.917,0.39,0.118,-0.145,-0.862,-0.862,0.657,0.72,2.455,0.0
0.007,-0.411,0.877,-0.349,-0.1,-0.405,0.055,-0.898,0.588,0.0
-0.337,-0.096,-0.211,-0.361,-0.691,-0.697,-0.614,0.173,0.246,0.0
-0.734,-0.849,0.871,-0.913,-0.313,-0.669,0.513,0.61,2.347,0.0
-0.708,0.053,-0.082,0.513,-0.584,-0.582,0.425,-0.107,5.619,0.0
0.961,-0.864,0.839,0.391,0.477,-0.844,0.709,0.591,1.957,0.03962
0.19,-0.062,-0.175,-0.015,-0.522,0.692,-0.763,0.5,3.103,0.0
-0.665,-0.214,0.226,0.771,-0.415,-0.849,-0.45,0.293,4.37,0.0
-0.988,-0.268,-0.266,-0.623,0.55,-0.061,-0.52,-0.653,3.764,0.0
0.374,0.879,0.786,-0.922,-0.616,-0.703,-0.954,-0.594,4.97,0.0
-0.055,0.296,-0.533,-0.734,0.312,0.863,0.585,-0.024,0.282,0.96822
0.938,0.592,0.579,-0.467,0.225,0.078,-0.679,-0.566,2.515,0.0
0.966,0.122,-0.811,-0.696,-0.078,0.774,-0.058,-0.497,5.06,0.0
-0.225,0.43,0.548,0.143,-0.803,0.246,-0.541,-0.933,0.114,1e-05
0.19,-0.245,0.0,0.607,-0.95,0.051,-0.674,0.58,5.294,0.0
-0.366,0.096,-0.716,-0.476,0.584,-0.349,0.433,-0.354,5.06,0.0
0.432,0.135,0.888,0.023,-0.226,-0.478,0.057,0.317,1.399,0.0
-0.46,-0.75,0.678,-0.802,0.791,-0.267,0.292,-0.159,5.961,0.0
0.689,-0.102,-0.461,0.186,0.647,0.724,0.038,-0.187,4.106,0.0
0.477,-0.142,0.79,0.234,0.535,0.173,0.118,-0.258,2.755,0.0
-0.287,-0.504,-0.242,-0.489,-0.285,-0.976,0.705,0.931,0.216,0.79026
-0.035,0.768,0.561,-0.498,0.531,-0.066,-0.247,-0.082,1.189,1e-05
0.538,0.475,-0.548,0.848,-0.296,-0.813,-0.353,0.186,3.055,0.0
-0.94,-0.046,0.89,-0.166,0.083,0.688,-0.661,-0.514,2.629,0.0
0.962,0.664,-0.46,-0.386,-0.248,-0.522,0.647,0.9,1.303,0.94065
-0.487,-0.953,-0.029,-0.813,0.496,0.254,0.878,-0.456,2.905,0.0
-0.052,0.806,-0.104,0.904,-0.865,0.792,-0.091,-0.279,2.245,0.0
0.642,0.371,-0.632,-0.609,-0.923,0.245,0.559,-0.607,5.925,0.0
-0.293,-0.513,-0.826,0.593,-0.1,-0.96,0.271,0.458,1.441,0.0
-0.219,-0.509,0.709,0.151,-0.894,0.356,-0.796,0.227,0.306,0.0
-0.885,-0.161,-0.053,0.596,0.173,0.378,0.406,-0.22,4.478,0.0
-0.955,0.449,-0.111,0.413,0.984,0.221,-0.803,0.311,2.101,0.0
-0.056,0.131,0.837,-0.112,0.35,0.826,-0.715,0.307,1.993,0.0
0.879,0.24,-0.258,0.872,-0.209,-0.366,-0.856,-0.582,4.82,0.0
0.14,0.532,0.582,-0.7,-0.305,-0.274,0.103,0.533,0.678,0.47732
0.968,-0.968,-0.284,0.515,0.082,0.169,-0.593,-0.387,4.862,0.0
0.031,0.465,-0.191,-0.723,0.619,0.087,-0.093,0.755,0.63,0.82053
-0.138,-0.901,-0.418,0.136,-0.839,0.187,-0.164,0.463,2.209,0.0
-0.234,0.236,-0.3,0.289,0.239,0.676,0.623,0.646,5.649,0.0
0.465,-0.992,0.113,0.346,0.231,-0.225,0.197,-0.11,1.195,0.0
-0.232,0.056,-0.018,0.202,-0.143,-0.535,-0.64,-0.753,5.018,0.0
-0.379,-0.14,0.99,0.752,-0.913,-0.492,0.575,0.45,4.322,0.0
0.016,-0.449,-0.029,0.848,-0.335,-0.842,-0.952,-0.906,5.835,0.0
-0.267,-0.48,-0.292,0.357,0.083,0.514,0.459,0.73,1.585,1e-05
-0.983,-0.068,0.527,-0.485,0.094,0.827,0.047,-0.601,4.148,0.0
0.214,-0.725,0.587,-0.897,-0.297,-0.689,0.699,-0.111,2.125,0.0
0.571,0.759,0.125,0.738,-0.829,0.262,0.35,-0.447,4.502,0.0
-0.749,0.419,0.632,0.605,0.678,0.873,-0.364,0.861,5.096,0.0
-0.386,-0.255,0.292,0.846,0.885,0.618,0.199,-0.79,5.174,0.0
0.193,-0.865,-0.006,-0.854,-0.027,0.806,0.8,0.832,1.723,0.08019
0.269,0.224,0.72,-0.933,-0.572,0.28,0.132,0.497,3.758,0.0
-0.96,0.319,-0.384,-0.528,0.101,0.297,-0.526,0.764,0.516,2e-05
0.231,0.166,-0.636,-0.723,0.925,0.076,0.712,-0.571,5.829,0.0
-0.632,-0.797,-0.202,0.035,0.429,0.422,0.093,0.694,1.585,0.0
-0.661,-0.024,-0.12,-0.158,0.982,-0.516,-0.628,-0.61,4.244,0.0
0.83,0.826,-0.257,-0.292,-0.541,-0.077,-0.052,0.233,2.245,0.0
-0.884,0.77,-0.533,0.981,-0.424,0.71,-0.42,-0.991,5.18,0.0
-0.001,0.884,0.496,0.996,0.695,0.488,0.995,0.835,3.614,0.00252
0.885,0.09,0.186,0.778,-0.557,-0.121,-0.609,0.2,3.241,0.0
0.231,0.096,-0.159,0.125,0.666,-0.153,0.495,0.492,0.462,0.99999
0.117,-0.306,0.06,0.956,0.969,0.357,0.091,-0.466,4.508,0.0
-0.568,-0.469,-0.876,0.895,0.787,-0.031,-0.512,-0.72,5.949,0.0
-0.388,0.17,0.439,0.969,0.69,-0.346,0.964,-0.222,5.174,0.0
-0.188,-0.972,0.69,0.622,-0.439,-0.119,-0.937,-0.248,3.518,0.0
0.281,-0.763,0.262,0.39,0.997,0.342,-0.718,-0.75,1.507,0.0
-0.046,0.431,0.328,0.533,-0.787,-0.052,0.017,0.216,5.793,0.0
-0.558,-0.07,0.331,0.476,-0.348,0.784,-0.788,0.146,1.014,0.0
0.853,0.124,-0.865,0.678,0.22,-0.715,0.21,0.006,3.674,0.0
0.029,-0.797,-0.589,0.068,-0.183,-0.799,-0.352,-0.522,1.309,0.0
0.961,-0.264,-0.534,-0.716,-0.204,-0.679,-0.614,0.478,0.606,0.0
-0.5,0.827,-0.462,-0.528,-0.069,0.155,0.25,-0.177,0.924,0.0
0.49,0.248,-0.346,-0.139,0.864,0.875,0.423,0.911,1.165,0.99562
-0.026,-0.892,0.743,0.553,0.974,0.181,0.467,-0.073,4.826,0.0
0.115,-0.043,-0.979,-0.773,0.871,-0.537,-0.871,-0.4,4.406,0.0
-0.197,-0.73,0.25,0.606,0.613,-0.989,0.444,-0.242,0.258,0.07771
0.371,-0.393,-0.761,0.895,0.163,0.333,-0.327,-0.169,2.869,0.0
0.087,-0.163,0.18,0.686,-0.087,-0.362,-0.391,0.823,3.374,0.0
-0.52,-0.153,0.66,-0.387,-0.898,-0.054,0.247,0.529,5.24,0.0
0.866,0.702,-0.63,-0.559,-0.052,0.402,0.806,0.05,3.344,0.0
-0.769,0.427,0.398,0.649,-0.655,0.961,-0.611,0.96,3.091,0.0
0.895,0.285,0.264,0.764,0.304,0.044,0.492,0.964,4.022,0.0
0.541,-0.336,0.864,-0.371,-0.715,0.995,0.664,0.525,5.336,0.0
0.44,-0.737,-0.271,0.074,0.628,0.137,-0.359,-0.667,3.356,0.0
-0.157,0.654,-0.478,-0.657,0.977,0.681,0.49,-0.912,0.756,0.00166
-0.598,-0.164,0.617,-0.339,-0.504,-0.107,0.664,-0.453,4.766,0.0
-0.016,0.737,-0.33,0.461,0.271,-0.023,-0.816,-0.814,2.851,0.0
0.153,0.474,0.117,-0.433,0.255,-0.014,-0.901,0.548,3.824,0.0
-0.356,0.439,0.342,0.576,-0.878,0.343,0.061,-0.543,2.995,0.0
-0.396,-0.63,0.113,0.209,0.504,0.935,0.268,0.205,3.932,0.0
0.775,0.973,-0.808,-0.205,-0.472,-0.823,-0.558,0.835,1.969,0.0
-0.174,0.708,0.096,-0.117,-0.748,-0.224,0.729,-0.474,1.02,0.0
0.629,-0.142,-0.14,-0.602,0.231,-0.255,0.639,0.758,5.631,0.0
0.328,0.793,0.162,0.106,-0.065,0.397,0.223,0.583,2.929,0.0
-0.06,-0.505,0.303,-0.76,-0.029,-0.476,-0.262,-0.081,5.0,0.0
-0.111,-0.342,0.701,-0.238,-0.354,-0.719,-0.596,0.589,5.108,0.0
0.713,0.119,-0.482,0.299,0.037,0.32,-0.906,0.988,5.228,0.0
0.095,0.091,-0.468,0.595,0.888,0.558,0.681,-0.42,1.633,0.00039
0.559,0.133,-0.716,0.099,0.767,-0.012,-0.74,-0.636,2.755,0.0
