0.047,0.599,0.46,0.716,0.013825744
0.845,0.47,0.967,0.641,1.1083e-05
0.04,0.33,0.467,0.35,0.0
0.085,0.413,0.637,0.85,0.986388205
0.024,0.231,0.384,0.545,0.888972413
0.632,0.135,0.895,0.306,0.0
0.262,0.15,0.769,0.702,0.127048238
0.012,0.464,0.521,0.619,0.435165924
0.414,0.781,0.791,0.949,3.5658e-05
0.208,0.91,0.369,0.917,9.64e-07
0.033,0.397,0.518,0.628,0.973923255
0.08,0.16,0.151,0.876,0.534898054
0.121,0.094,0.627,0.305,0.0
0.292,0.334,0.478,0.93,0.081770516
0.267,0.345,0.919,0.858,0.122118733
0.0,0.258,0.339,0.778,0.931835014
0.42,0.398,0.716,0.622,0.018770669
0.0,0.408,0.713,0.428,0.232015377
0.255,0.41,0.938,0.935,0.136699082
0.502,0.723,0.81,0.918,5.7342e-05
0.076,0.393,0.333,0.683,0.92753531
0.188,0.076,0.546,0.987,0.381383721
0.196,0.108,0.361,0.851,0.286900575
0.0,0.235,0.645,0.602,0.971879655
0.027,0.267,0.46,0.825,0.974593533
0.898,0.319,0.917,0.492,9.64e-07
0.233,0.0,0.416,0.843,0.151924169
0.745,0.071,0.919,0.262,0.0
0.343,0.383,0.575,0.579,0.044189183
0.269,0.027,0.27,0.855,0.001136726
0.806,0.335,0.814,0.847,6.746e-06
0.094,0.67,0.532,0.917,0.002395364
0.352,0.18,0.875,0.495,0.025865205
0.238,0.174,0.959,0.472,0.075225791
0.234,0.06,0.487,0.843,0.162239027
0.045,0.232,0.272,0.294,0.0
0.701,0.043,0.949,0.792,0.000444282
0.0,0.427,0.518,0.58,0.725066124
0.681,0.153,0.801,0.19,0.0
0.23,0.064,0.357,1.0,0.133221926
0.219,0.207,0.319,0.676,0.139896755
0.171,0.321,0.232,0.607,0.241521661
0.136,0.073,0.349,0.713,0.432317123
0.192,0.329,0.764,0.731,0.360579571
0.027,0.55,0.444,0.69,0.059853734
0.342,0.174,0.901,0.366,0.0
0.311,0.438,0.346,0.538,0.013815625
0.018,0.382,0.55,0.528,0.879682488
0.106,0.0,0.168,0.952,0.358467545
0.0,0.004,0.53,0.876,0.982052843
0.231,0.299,0.724,0.791,0.177490617
0.229,0.24,0.243,0.75,0.027776774
0.635,0.424,0.974,0.48,0.000220695
0.187,0.12,0.671,0.862,0.389671843
0.001,0.306,0.403,0.609,0.95146389
0.196,0.516,0.551,0.654,0.068360624
0.0,0.026,0.873,0.972,0.987465179
0.172,0.148,0.99,0.226,0.0
0.714,0.953,0.796,0.955,0.0
0.125,0.514,0.874,0.979,0.111335983
0.301,0.85,0.549,0.967,1.4456e-05
0.451,0.477,0.749,0.554,0.005270667
0.039,0.178,0.455,0.517,0.833227563
0.67,0.382,0.783,0.516,0.000289121
0.095,0.509,0.579,0.761,0.187967863
0.532,0.606,0.939,0.857,0.000596552
0.301,0.112,0.831,0.708,0.082556924
0.389,0.627,0.443,0.874,0.000707382
0.316,0.21,0.592,0.9,0.068098006
0.0,0.18,0.813,0.657,0.98393309
0.134,0.214,0.504,0.418,0.0
0.25,0.092,0.4,0.745,0.116545453
0.521,0.377,0.904,0.439,0.000717019
0.0,0.231,0.645,0.719,0.985710217
0.281,0.07,0.935,0.964,0.105076523
0.402,0.295,0.464,0.891,0.01395103
0.785,0.657,0.828,0.669,4.82e-07
0.76,0.316,0.772,0.472,9.155e-06
0.806,0.134,0.896,0.228,0.0
0.092,0.218,0.582,0.725,0.973022163
0.648,0.489,0.821,0.617,0.000506925
0.433,0.22,0.836,0.895,0.017635389
0.268,0.246,0.377,0.883,0.083281653
0.039,0.026,0.323,0.81,0.922271389
0.319,0.346,0.639,0.486,0.032138639
0.11,0.091,0.12,0.958,0.139137332
0.658,0.628,0.825,0.636,1.1083e-05
0.074,0.195,0.16,0.974,0.551059892
0.04,0.251,0.135,0.99,0.5014603
0.489,0.849,0.49,0.895,0.0
0.681,0.25,0.967,0.805,0.000581132
0.19,0.386,0.536,0.584,0.352364693
0.0,0.0,0.787,0.894,0.99992001
0.005,0.002,0.627,0.936,0.986269666
0.054,0.613,0.162,0.752,0.000919885
0.507,0.75,0.988,0.752,0.0
0.037,0.444,0.154,0.985,0.362685814
0.523,0.327,0.718,0.996,0.005592073
0.896,0.198,0.955,0.94,4.819e-06
0.479,0.308,0.978,0.851,0.010308593
0.023,0.49,0.355,0.565,0.233073077
