0.62,0.501,0.535,0.276,0.438,0.0,0.62,0.622,0.877,0.832,0.608,0.965,0.0
0.328,0.561,0.0,0.379,0.014,0.147,0.476,0.624,0.193,0.483,0.97,0.971,6.885e-06
0.19,0.046,0.54,0.542,0.21,0.206,0.691,0.683,0.572,0.74,0.79,0.7,6.885e-06
0.304,0.0,0.438,0.484,0.651,0.179,0.926,0.609,0.58,0.99,0.657,0.431,0.0
0.164,0.376,0.163,0.018,0.404,0.282,0.78,0.44,0.36,0.746,0.611,0.572,0.000512898
0.57,0.514,0.358,0.344,0.053,0.422,1.0,0.817,1.0,0.803,0.865,1.0,0.00127364
0.408,0.307,0.0,0.508,0.195,0.399,1.0,0.893,0.845,0.888,0.626,0.483,0.003667738
0.261,0.084,0.0,0.0,0.301,0.175,0.393,0.274,0.581,0.605,1.0,0.863,0.000748694
0.397,0.653,0.33,0.094,0.0,0.0,0.451,1.0,0.801,0.831,0.603,0.824,0.002103227
0.454,0.0,0.0,0.0,0.622,0.453,0.538,0.861,0.082,0.919,0.654,0.707,0.0
0.21,0.231,0.414,0.219,0.35,0.27,0.629,1.0,0.529,0.905,0.598,0.518,0.000974162
0.0,0.37,0.778,0.115,0.356,0.066,0.761,0.912,0.94,0.791,0.749,0.646,0.0
0.06,0.458,0.204,0.151,0.458,0.426,0.858,0.754,0.701,0.451,0.477,0.814,9.122e-05
0.0,0.171,0.435,0.798,0.352,0.772,0.57,0.719,0.553,0.806,0.516,1.0,0.0
0.48,0.362,0.529,0.094,0.496,0.19,0.574,1.0,0.607,0.552,0.702,0.802,0.000103268
0.0,0.288,0.0,0.491,0.0,0.353,0.861,0.352,0.453,0.543,0.713,1.0,0.000371765
0.357,0.412,0.431,0.237,0.283,0.281,0.631,0.502,0.796,0.888,0.651,0.394,6.1961e-05
0.244,0.348,0.125,0.331,0.193,0.37,0.924,0.558,0.185,0.574,1.0,0.43,0.000531831
0.077,0.0,0.532,0.0,0.391,0.282,0.351,0.71,0.629,0.725,0.495,0.946,0.0
0.091,0.364,0.267,0.145,0.744,0.229,0.994,0.424,0.993,1.0,1.0,0.838,0.0
0.244,0.514,0.321,0.411,0.436,0.251,0.866,0.824,0.739,0.768,0.606,0.998,0.000623051
0.183,0.247,0.089,0.183,0.44,0.366,0.835,0.623,0.961,1.0,0.796,0.654,0.003481856
0.0,0.202,0.042,0.549,0.466,0.317,0.711,0.976,0.954,0.753,0.522,0.499,0.000449216
0.0,0.169,0.065,0.024,0.0,0.497,0.712,0.585,0.842,0.822,0.792,0.799,0.057742353
0.2,0.794,0.224,0.373,0.291,0.122,0.96,0.893,0.899,0.873,1.0,0.607,0.00251802
0.487,0.499,0.067,0.463,0.537,0.534,1.0,0.554,0.945,0.877,0.631,0.562,0.0
0.518,0.352,0.225,0.003,0.23,0.0,0.611,0.398,0.693,0.781,1.0,0.63,0.003046409
