0.249,0.577,0.605,0.282,0.0,0.0,0.301,0.612,0.61,1.0,0.503,0.354,0.395,0.824,0.001335737
0.271,0.169,0.76,0.46,0.0,0.0,0.151,0.778,1.0,1.0,0.512,0.294,0.368,0.911,0.000461629
0.156,0.55,0.656,0.205,0.0,0.0,0.181,0.896,0.703,1.0,0.766,0.198,0.096,0.944,0.00978143
0.476,0.497,0.768,0.406,0.003,0.0,0.205,0.574,0.705,1.0,0.565,0.02,0.304,0.858,0.000243825
0.296,0.364,0.805,0.43,0.0,0.0,0.274,0.756,0.89,1.0,0.541,0.411,0.313,0.851,0.0012384
0.206,0.435,0.581,0.009,0.0,0.0,0.347,0.846,0.818,1.0,0.963,0.129,0.536,0.778,0.145657964
0.319,0.571,0.781,0.078,0.0,0.0,0.387,0.734,0.685,1.0,0.894,0.38,0.079,0.738,0.003003962
0.254,0.162,0.475,0.0,0.0,0.0,0.093,0.606,1.0,1.0,0.881,0.036,0.414,1.0,0.077566222
0.233,0.175,0.501,0.321,0.0,0.0,0.17,0.818,1.0,1.0,0.65,0.509,0.091,0.955,0.021353961
0.259,0.422,0.897,0.0,0.0,0.0,0.123,0.516,0.849,0.953,0.815,0.236,0.161,1.0,0.05153429
0.341,0.489,0.495,0.0,0.0,0.0,0.285,0.43,0.774,1.0,0.789,0.192,0.353,0.84,0.006857457
0.291,0.562,0.503,0.0,0.0,0.0,0.455,0.484,0.709,1.0,0.839,0.026,0.449,0.67,0.004767598
0.086,0.356,0.464,0.0,0.0,0.0,0.084,0.683,0.907,1.0,0.729,0.039,0.161,0.979,0.315218486
0.174,0.173,0.757,0.279,0.0,0.0,0.491,0.595,1.0,1.0,0.401,0.121,0.377,0.633,0.019313734
0.0,0.411,0.851,0.268,0.0,0.0,0.083,0.791,0.861,1.0,0.412,0.306,0.153,1.0,0.022846305
0.315,0.414,0.603,0.163,0.0,0.0,0.175,0.456,0.849,1.0,0.517,0.29,0.306,0.95,0.027993132
0.429,0.149,0.908,0.181,0.0,0.0,0.258,0.623,1.0,0.929,0.79,0.451,0.522,0.867,0.005048526
0.169,0.612,0.569,0.403,0.0,0.0,0.475,0.889,0.618,1.0,0.577,0.2,0.413,0.65,2.0238e-05
0.371,0.211,0.664,0.007,0.0,0.0,0.307,0.405,1.0,1.0,0.674,0.332,0.148,0.818,0.004666887
0.34,0.098,0.642,0.0,0.0,0.0,0.116,0.521,1.0,1.0,0.815,0.057,0.237,1.0,0.016297725
0.0,0.104,0.501,0.306,0.0,0.0,0.094,0.883,0.733,1.0,0.399,0.243,0.152,1.0,0.010151022
0.113,0.375,0.472,0.0,0.0,0.0,0.507,0.592,0.59,1.0,0.607,0.152,0.413,0.618,0.22397879
0.072,0.142,0.504,0.428,0.0,0.0,0.453,0.962,1.0,1.0,0.527,0.453,0.101,0.672,0.003383192
0.352,0.391,0.438,0.103,0.0,0.0,0.208,0.7,0.862,1.0,0.869,0.33,0.349,0.917,0.015442892
0.055,0.069,0.532,0.341,0.0,0.0,0.409,0.964,0.768,1.0,0.591,0.334,0.357,0.716,0.006436305
0.156,0.414,0.472,0.209,0.0,0.0,0.17,0.545,0.423,1.0,0.382,0.081,0.393,0.955,0.010479656
0.484,0.0,0.733,0.229,0.0,0.0,0.185,0.534,0.884,1.0,0.703,0.484,0.491,0.94,0.003332596
0.116,0.14,0.863,0.124,0.0,0.0,0.485,0.745,1.0,0.985,0.661,0.204,0.145,0.64,0.274890508
0.21,0.117,0.639,0.023,0.0,0.0,0.219,0.521,0.85,1.0,0.601,0.473,0.341,0.905,0.164535125
0.374,0.105,0.645,0.0,0.0,0.0,0.112,0.407,0.731,1.0,0.76,0.272,0.068,1.0,0.004280911
0.034,0.01,0.586,0.0,0.0,0.0,0.091,0.668,0.826,1.0,0.788,0.145,0.211,1.0,0.317055365
0.338,0.186,0.484,0.313,0.0,0.0,0.333,0.447,0.714,1.0,0.392,0.5,0.504,0.792,0.021530325
0.0,0.33,0.685,0.133,0.0,0.0,0.243,0.726,0.507,1.0,0.467,0.181,0.442,0.944,0.200312347
0.471,0.51,0.459,0.317,0.0,0.0,0.309,0.581,0.744,1.0,0.654,0.16,0.36,0.816,0.000368629
0.073,0.521,0.817,0.288,0.0,0.0,0.162,0.978,0.732,1.0,0.683,0.205,0.508,0.963,0.008056344
0.046,0.553,0.785,0.0,0.0,0.0,0.433,0.729,0.718,1.0,0.784,0.089,0.062,0.692,0.016277004
0.705,0.103,0.819,0.634,0.0,0.0,0.236,0.732,0.733,1.0,0.751,0.225,0.178,0.889,7.71e-06
0.0,0.371,0.836,0.319,0.0,0.0,0.421,0.896,0.818,1.0,0.435,0.325,0.149,0.704,0.008270775
0.514,0.155,0.625,0.167,0.0,0.0,0.361,0.539,1.0,1.0,0.805,0.457,0.286,0.764,0.000831703
0.291,0.168,0.711,0.421,0.0,0.0,0.094,1.0,0.669,1.0,0.964,0.479,0.461,1.0,0.006898416
0.389,0.443,0.659,0.0,0.0,0.0,0.086,0.396,0.458,1.0,0.806,0.339,0.314,1.0,0.000160462
0.396,0.148,0.891,0.151,0.0,0.0,0.037,0.741,0.688,0.941,0.918,0.024,0.148,1.0,0.003652074
0.279,0.477,0.486,0.293,0.0,0.0,0.159,0.466,0.797,1.0,0.355,0.049,0.486,0.966,0.007753249
0.434,0.41,0.444,0.348,0.0,0.129,0.424,0.844,0.582,1.0,0.866,0.423,0.784,0.701,0.003243932
0.0,0.0,0.555,0.193,0.0,0.0,0.548,0.714,0.853,1.0,0.398,0.179,0.04,0.577,0.02189028
0.0,0.02,0.619,0.082,0.0,0.0,0.118,0.606,0.937,1.0,0.404,0.304,0.391,1.0,0.318554937
0.182,0.0,0.515,0.398,0.0,0.0,0.266,0.728,0.856,1.0,0.419,0.081,0.027,0.859,0.000413924
0.121,0.463,0.788,0.089,0.0,0.0,0.206,0.936,0.767,1.0,0.891,0.141,0.401,0.919,0.140981921
0.0,0.072,0.851,0.132,0.0,0.0,0.12,0.791,0.764,1.0,0.467,0.212,0.098,1.0,0.255136829
0.306,0.29,0.637,0.0,0.009,0.0,0.107,0.47,0.981,1.0,0.762,0.014,0.232,1.0,0.025993864
