0.368,0.554,0.296,0.584,0.216,0.396,0.519,0.743,0.555,0.637,0.047,0.621,0.0,0.806,0.104,0.326,0.0
0.0,0.866,0.017,0.469,0.147,0.857,0.106,0.637,0.581,0.687,0.523,0.629,0.234,0.784,0.0,0.8,0.0
0.0,0.51,0.45,0.736,0.287,0.677,0.141,0.641,0.315,0.568,0.023,0.447,0.294,0.664,0.235,0.792,0.0
0.115,1.0,0.089,0.83,0.118,0.675,0.174,0.791,0.0,0.609,0.0,0.542,0.287,0.543,0.14,1.0,0.002776191
0.585,0.827,0.709,0.914,0.414,0.755,0.376,0.851,0.239,0.748,0.653,0.809,0.276,0.431,0.638,0.743,0.0
0.421,0.889,0.0,0.896,0.141,0.68,0.081,0.47,0.374,0.668,0.0,0.708,0.534,0.786,0.147,0.677,0.000506014
0.635,0.749,0.222,0.944,0.0,0.77,0.123,1.0,0.237,0.5,0.3,1.0,0.612,0.888,0.247,0.319,0.0
0.373,0.655,0.0,0.772,0.352,0.536,0.187,0.757,0.153,0.929,0.432,0.576,0.519,0.695,0.266,0.93,2.0654e-05
0.236,0.836,0.0,0.875,0.274,0.665,0.362,0.39,0.394,1.0,0.469,1.0,0.255,0.403,0.0,0.654,0.0
0.551,0.643,0.106,0.524,0.349,1.0,0.609,0.883,0.331,0.527,0.227,0.498,0.0,0.75,0.387,1.0,0.0
0.214,0.638,0.0,0.828,0.533,0.923,0.734,0.778,0.625,1.0,0.505,1.0,0.0,0.654,0.0,0.883,0.0
0.316,0.806,0.843,0.991,0.148,0.836,0.0,0.52,0.272,0.57,0.499,0.983,0.347,0.411,0.296,0.95,3.442e-06
0.671,0.7,0.076,0.752,0.212,0.988,0.546,0.6,0.478,0.788,0.011,0.855,0.425,0.796,0.425,0.451,0.0
0.466,0.521,0.423,0.513,0.153,0.795,0.458,0.714,0.531,1.0,0.317,1.0,0.545,1.0,0.258,1.0,0.0
0.328,0.785,0.0,0.735,0.124,0.489,0.342,0.562,0.335,1.0,0.741,0.878,0.0,0.782,0.124,0.716,3.442e-06
0.0,0.553,0.562,1.0,0.084,0.562,0.644,1.0,0.454,0.784,0.019,0.907,0.145,1.0,0.284,1.0,0.00013597
0.539,1.0,0.0,0.903,0.209,0.957,0.103,0.938,0.462,0.746,0.13,1.0,0.247,0.939,0.565,0.591,1.549e-05
0.198,0.535,0.219,0.772,0.252,0.855,0.399,0.579,0.0,0.282,0.353,0.633,0.435,0.559,0.2,1.0,1.2048e-05
0.071,0.629,0.458,0.718,0.115,1.0,0.183,0.457,0.55,0.732,0.0,0.512,0.0,0.827,0.35,0.696,0.0
0.498,0.516,0.542,0.888,0.624,0.713,0.108,0.956,0.625,0.768,0.0,0.469,0.423,0.613,0.0,0.503,0.0
0.399,0.951,0.0,0.327,0.0,0.698,0.53,0.674,0.258,1.0,0.415,0.764,0.103,0.749,0.116,0.645,0.0
0.584,0.731,0.431,0.556,0.0,0.643,0.31,0.657,0.015,0.994,0.465,0.52,0.537,0.769,0.416,0.523,0.0
0.0,0.769,0.086,0.627,0.0,0.8,0.148,0.895,0.259,0.593,0.23,1.0,0.108,0.726,0.0,0.82,5.163e-06
0.239,0.531,0.305,0.367,0.134,1.0,0.0,0.784,0.019,0.619,0.0,0.021,0.537,0.588,0.49,0.766,0.0
0.561,0.595,0.317,1.0,0.076,0.66,0.074,0.708,0.578,0.709,0.396,0.417,0.18,0.282,0.357,0.849,0.0
0.299,0.509,0.0,0.819,0.661,0.711,0.414,0.482,0.811,0.848,0.061,0.889,0.186,1.0,0.175,0.863,0.0
0.241,0.457,0.325,0.728,0.0,0.594,0.337,0.669,0.38,0.643,0.416,0.647,0.338,0.644,0.277,1.0,0.0
0.413,0.697,0.552,1.0,0.699,0.887,0.342,0.64,0.54,0.698,0.474,0.642,0.435,0.487,0.13,0.186,0.0
0.109,1.0,0.374,1.0,0.269,0.306,0.012,0.862,0.263,0.81,0.021,0.437,0.314,0.662,0.084,0.8,0.0
0.0,0.203,0.0,0.727,0.277,0.541,0.578,0.74,0.753,0.866,0.304,0.986,0.266,0.782,0.433,0.938,0.0
0.325,0.725,0.0,0.736,0.4,0.6,0.139,0.973,0.18,1.0,0.367,0.421,0.0,0.664,0.041,0.767,3.098e-05
0.075,0.588,0.171,0.907,0.126,0.416,0.24,1.0,0.261,0.745,0.224,0.355,0.56,0.678,0.606,0.662,0.0
0.529,0.771,0.026,0.892,0.29,0.412,0.322,1.0,0.0,0.803,0.685,0.77,0.0,0.735,0.299,0.339,0.0
0.496,0.778,0.803,0.809,0.12,1.0,0.065,0.625,0.392,0.909,0.349,0.601,0.0,0.629,0.0,0.909,1.7211e-05
0.457,1.0,0.025,0.55,0.761,1.0,0.022,0.944,0.471,0.787,0.294,0.36,0.407,0.761,0.091,0.905,0.0
0.036,0.234,0.661,1.0,0.193,0.503,0.554,0.738,0.0,0.948,0.074,0.454,0.336,0.68,0.362,0.668,0.0
0.237,1.0,0.0,0.738,0.115,0.903,0.449,0.559,0.179,0.637,0.557,1.0,0.69,0.847,0.151,0.157,0.0
0.048,0.683,0.111,0.945,0.06,0.622,0.151,1.0,0.152,0.653,0.121,0.735,0.25,1.0,0.35,0.628,0.000657474
0.02,0.395,0.521,0.616,0.203,1.0,0.588,0.773,0.175,0.865,0.0,0.474,0.523,0.743,0.0,0.975,0.0
0.0,0.849,0.359,0.374,0.37,0.554,0.15,0.7,0.153,0.581,0.611,0.923,0.758,0.816,0.216,0.528,0.0
0.425,0.605,0.507,1.0,0.232,0.386,0.615,0.889,0.047,0.841,0.438,0.732,0.31,0.984,0.504,1.0,7.7451e-05
0.158,0.848,0.0,0.857,0.368,0.762,0.484,0.612,0.468,0.94,0.231,0.872,0.073,0.805,0.262,0.668,1.721e-06
0.216,0.956,0.379,0.475,0.167,0.545,0.363,0.917,0.267,0.818,0.212,0.613,0.455,0.954,0.264,0.722,0.0
0.305,0.835,0.565,0.671,0.109,0.857,0.646,0.717,0.175,0.841,0.084,0.893,0.029,0.97,0.526,0.898,0.0
0.422,0.43,0.0,0.865,0.384,0.836,0.42,0.442,0.126,1.0,0.103,0.897,0.395,0.76,0.049,0.991,3.442e-06
0.027,0.738,0.247,0.611,0.0,0.762,0.334,0.964,0.806,0.843,0.163,0.599,0.024,0.168,0.459,0.915,0.0
0.282,1.0,0.489,0.719,0.241,0.887,0.072,1.0,0.223,0.899,0.388,0.52,0.306,0.584,0.627,0.975,0.000118758
0.542,0.851,0.458,0.534,0.415,0.984,0.281,0.739,0.283,0.683,0.294,0.902,0.39,0.864,0.0,0.282,0.0
0.11,0.85,0.71,0.874,0.0,0.483,0.0,0.091,0.0,0.721,0.364,0.666,0.0,0.616,0.431,1.0,0.000857125
0.579,0.597,0.2,0.883,0.196,0.812,0.0,0.495,0.134,0.548,0.181,0.609,0.0,0.917,0.114,0.484,0.0
0.281,0.479,0.467,0.845,0.18,0.399,0.167,0.857,0.032,0.682,0.581,0.635,0.073,1.0,0.298,0.734,0.0
0.305,1.0,0.064,0.922,0.255,0.375,0.025,0.662,0.0,0.333,0.299,0.843,0.0,0.501,0.0,0.754,0.0
0.256,0.338,0.0,0.757,0.3,0.766,0.0,0.619,0.409,1.0,0.626,0.715,0.178,0.542,0.358,1.0,0.0
0.435,0.855,0.177,0.754,0.773,0.885,0.223,0.701,0.286,0.584,0.104,1.0,0.331,1.0,0.466,0.956,0.0
0.488,0.919,0.072,0.741,0.293,0.531,0.292,1.0,0.143,1.0,0.293,0.597,0.508,0.622,0.426,0.683,0.0
0.0,0.832,0.102,0.402,0.527,0.67,0.134,0.534,0.214,0.653,0.283,0.587,0.142,0.895,0.144,0.622,8.0893e-05
0.151,1.0,0.063,0.875,0.105,0.637,0.225,1.0,0.044,0.846,0.395,0.787,0.378,0.655,0.589,0.881,0.000475033
0.161,1.0,0.433,0.554,0.0,0.613,0.121,1.0,0.047,0.637,0.515,0.925,0.13,0.532,0.494,0.554,0.0
0.453,0.618,0.326,0.828,0.387,0.663,0.069,0.905,0.387,0.502,0.096,0.736,0.219,0.591,0.557,0.576,0.0
0.54,0.659,0.393,0.881,0.331,1.0,0.145,0.962,0.114,0.928,0.139,0.689,0.0,0.613,0.214,0.572,0.0
0.387,0.563,0.251,0.747,0.225,1.0,0.215,0.347,0.035,0.873,0.128,0.824,0.237,0.838,0.227,0.479,0.0
0.355,0.502,0.209,0.913,0.126,0.67,0.131,0.336,0.0,0.58,0.18,1.0,0.217,1.0,0.098,0.788,0.000817539
0.697,1.0,0.463,0.749,0.0,0.557,0.481,0.551,0.0,0.442,0.379,0.651,0.0,0.545,0.223,0.712,0.0
0.0,0.422,0.05,0.282,0.112,0.692,0.341,0.855,0.319,1.0,0.0,0.585,0.467,0.718,0.0,0.901,3.442e-06
0.147,0.339,0.331,0.935,0.138,0.794,0.453,0.869,0.383,0.819,0.019,0.723,0.15,0.75,0.136,0.992,0.0
0.877,0.887,0.55,1.0,0.389,0.608,0.209,1.0,0.143,0.718,0.0,0.583,0.465,0.684,0.271,0.505,0.0
0.094,0.91,0.296,1.0,0.378,1.0,0.311,0.321,0.0,0.81,0.299,1.0,0.0,0.334,0.563,0.601,0.0
