0.066,0.566,0.342,0.842
0.043,0.543,0.18,0.68
0.093,0.593,0.127,0.627
0.244,0.744,0.054,0.554
0.231,0.731,0.372,0.872
0.298,0.798,0.293,0.793
0.385,0.885,0.518,1.0
0.252,0.752,0.0,0.442
0.323,0.823,0.191,0.691
0.03,0.53,0.428,0.928
0.283,0.783,0.28,0.78
0.301,0.801,0.457,0.957
0.225,0.725,0.153,0.653
0.228,0.728,0.211,0.711
0.268,0.768,0.145,0.645
0.332,0.832,0.233,0.733
0.331,0.831,0.589,1.0
0.127,0.627,0.243,0.743
0.3,0.8,0.296,0.796
0.227,0.727,0.187,0.687
0.191,0.691,0.019,0.519
0.252,0.752,0.129,0.629
0.495,0.995,0.034,0.534
0.446,0.946,0.292,0.792
0.109,0.609,0.117,0.617
0.325,0.825,0.089,0.589
0.357,0.857,0.418,0.918
0.338,0.838,0.529,1.0
0.124,0.624,0.552,1.0
0.597,1.0,0.307,0.807
0.22,0.72,0.258,0.758
0.216,0.716,0.358,0.858
0.082,0.582,0.207,0.707
0.266,0.766,0.172,0.672
0.5,1.0,0.354,0.854
0.0,0.379,0.323,0.823
0.496,0.996,0.176,0.676
0.571,1.0,0.213,0.713
0.042,0.542,0.0,0.438
0.071,0.571,0.252,0.752
0.294,0.794,0.071,0.571
0.152,0.652,0.133,0.633
0.068,0.568,0.213,0.713
0.333,0.833,0.426,0.926
0.214,0.714,0.388,0.888
0.209,0.709,0.398,0.898
0.208,0.708,0.343,0.843
0.314,0.814,0.405,0.905
0.349,0.849,0.168,0.668
0.416,0.916,0.499,0.999
0.254,0.754,0.349,0.849
0.0,0.499,0.204,0.704
0.054,0.554,0.225,0.725
0.085,0.585,0.331,0.831
0.175,0.675,0.362,0.862
0.323,0.823,0.385,0.885
0.553,1.0,0.304,0.804
0.504,1.0,0.088,0.588
0.143,0.643,0.0,0.457
0.404,0.904,0.13,0.63
0.593,1.0,0.137,0.637
0.549,1.0,0.0,0.347
0.415,0.915,0.33,0.83
0.414,0.914,0.522,1.0
0.15,0.65,0.259,0.759
0.265,0.765,0.283,0.783
0.178,0.678,0.166,0.666
0.214,0.714,0.319,0.819
0.419,0.919,0.0,0.171
0.0,0.374,0.235,0.735
0.4,0.9,0.194,0.694
0.27,0.77,0.515,1.0
0.092,0.592,0.156,0.656
0.144,0.644,0.5,1.0
0.137,0.637,0.386,0.886
0.534,1.0,0.339,0.839
0.29,0.79,0.35,0.85
0.497,0.997,0.204,0.704
0.456,0.956,0.227,0.727
0.243,0.743,0.148,0.648
0.017,0.517,0.163,0.663
0.158,0.658,0.689,1.0
0.25,0.75,0.303,0.803
0.173,0.673,0.257,0.757
0.242,0.742,0.0,0.378
0.156,0.656,0.1,0.6
0.222,0.722,0.166,0.666
0.355,0.855,0.37,0.87
0.386,0.886,0.212,0.712
0.164,0.664,0.08,0.58
0.257,0.757,0.172,0.672
0.09,0.59,0.113,0.613
0.086,0.586,0.327,0.827
0.25,0.75,0.152,0.652
0.183,0.683,0.172,0.672
0.57,1.0,0.466,0.966
0.307,0.807,0.122,0.622
0.112,0.612,0.35,0.85
0.489,0.989,0.336,0.836
0.205,0.705,0.218,0.718
0.416,0.916,0.153,0.653
0.179,0.679,0.348,0.848
0.113,0.613,0.236,0.736
0.328,0.828,0.111,0.611
0.058,0.558,0.309,0.809
0.289,0.789,0.453,0.953
0.3,0.8,0.293,0.793
0.385,0.885,0.0,0.48
0.27,0.77,0.257,0.757
0.218,0.718,0.252,0.752
0.351,0.851,0.0,0.155
0.368,0.868,0.177,0.677
0.111,0.611,0.408,0.908
0.572,1.0,0.0,0.37
0.141,0.641,0.0,0.432
0.315,0.815,0.174,0.674
0.393,0.893,0.27,0.77
0.297,0.797,0.195,0.695
0.295,0.795,0.295,0.795
0.286,0.786,0.364,0.864
0.072,0.572,0.31,0.81
0.129,0.629,0.205,0.705
0.06,0.56,0.028,0.528
0.153,0.653,0.235,0.735
0.0,0.488,0.295,0.795
0.204,0.704,0.389,0.889
0.065,0.565,0.518,1.0
0.534,1.0,0.326,0.826
0.252,0.752,0.339,0.839
0.28,0.78,0.128,0.628
0.23,0.73,0.197,0.697
0.121,0.621,0.578,1.0
0.0,0.479,0.16,0.66
0.002,0.502,0.409,0.909
0.385,0.885,0.369,0.869
0.422,0.922,0.445,0.945
0.581,1.0,0.256,0.756
0.29,0.79,0.296,0.796
0.445,0.945,0.163,0.663
0.035,0.535,0.067,0.567
0.271,0.771,0.328,0.828
0.476,0.976,0.133,0.633
0.51,1.0,0.0,0.455
0.468,0.968,0.396,0.896
0.22,0.72,0.288,0.788
0.217,0.717,0.112,0.612
0.507,1.0,0.089,0.589
0.299,0.799,0.364,0.864
0.0,0.443,0.275,0.775
0.324,0.824,0.444,0.944
0.255,0.755,0.201,0.701
0.245,0.745,0.104,0.604
0.388,0.888,0.246,0.746
0.143,0.643,0.138,0.638
0.149,0.649,0.042,0.542
0.445,0.945,0.339,0.839
0.005,0.505,0.31,0.81
0.312,0.812,0.618,1.0
0.572,1.0,0.0,0.495
0.603,1.0,0.309,0.809
0.426,0.926,0.514,1.0
0.351,0.851,0.344,0.844
0.279,0.779,0.052,0.552
0.66,1.0,0.24,0.74
0.02,0.52,0.284,0.784
0.017,0.517,0.0,0.387
0.0,0.492,0.235,0.735
0.373,0.873,0.0,0.495
0.22,0.72,0.224,0.724
0.203,0.703,0.077,0.577
0.435,0.935,0.372,0.872
0.447,0.947,0.266,0.766
0.257,0.757,0.0,0.368
0.047,0.547,0.13,0.63
0.373,0.873,0.0,0.444
0.066,0.566,0.04,0.54
0.048,0.548,0.538,1.0
0.265,0.765,0.26,0.76
0.371,0.871,0.402,0.902
0.24,0.74,0.079,0.579
0.259,0.759,0.146,0.646
0.322,0.822,0.532,1.0
0.751,1.0,0.0,0.443
0.338,0.838,0.136,0.636
0.164,0.664,0.268,0.768
0.353,0.853,0.142,0.642
0.205,0.705,0.209,0.709
0.348,0.848,0.013,0.513
0.434,0.934,0.35,0.85
0.327,0.827,0.377,0.877
0.25,0.75,0.203,0.703
0.283,0.783,0.156,0.656
0.251,0.751,0.269,0.769
0.182,0.682,0.328,0.828
0.352,0.852,0.05,0.55
0.0,0.466,0.0,0.377
0.384,0.884,0.0,0.493
0.304,0.804,0.499,0.999
0.322,0.822,0.409,0.909
0.278,0.778,0.585,1.0
0.395,0.895,0.0,0.433
0.17,0.67,0.269,0.769
0.424,0.924,0.225,0.725
0.286,0.786,0.425,0.925
0.273,0.773,0.308,0.808
0.125,0.625,0.382,0.882
0.145,0.645,0.245,0.745
0.326,0.826,0.166,0.666
0.249,0.749,0.351,0.851
0.581,1.0,0.236,0.736
0.341,0.841,0.24,0.74
0.015,0.515,0.541,1.0
0.085,0.585,0.361,0.861
0.119,0.619,0.087,0.587
0.541,1.0,0.0,0.412
0.61,1.0,0.0,0.488
0.18,0.68,0.218,0.718
0.081,0.581,0.139,0.639
0.096,0.596,0.438,0.938
0.386,0.886,0.457,0.957
0.239,0.739,0.162,0.662
0.448,0.948,0.352,0.852
0.0,0.439,0.45,0.95
0.339,0.839,0.331,0.831
0.422,0.922,0.313,0.813
0.257,0.757,0.016,0.516
0.2,0.7,0.255,0.755
0.216,0.716,0.307,0.807
0.605,1.0,0.088,0.588
0.285,0.785,0.349,0.849
0.222,0.722,0.22,0.72
0.34,0.84,0.243,0.743
0.036,0.536,0.424,0.924
0.0,0.419,0.377,0.877
0.647,1.0,0.424,0.924
0.504,1.0,0.477,0.977
0.493,0.993,0.186,0.686
0.345,0.845,0.237,0.737
0.0,0.485,0.295,0.795
0.0,0.288,0.629,1.0
0.046,0.546,0.433,0.933
0.399,0.899,0.083,0.583
0.136,0.636,0.247,0.747
0.081,0.581,0.433,0.933
0.242,0.742,0.0,0.464
0.21,0.71,0.229,0.729
0.428,0.928,0.137,0.637
0.175,0.675,0.199,0.699
0.269,0.769,0.226,0.726
0.209,0.709,0.127,0.627
0.0,0.408,0.105,0.605
0.146,0.646,0.335,0.835
0.22,0.72,0.402,0.902
0.0,0.494,0.334,0.834
0.577,1.0,0.135,0.635
0.187,0.687,0.21,0.71
0.071,0.571,0.34,0.84
0.39,0.89,0.304,0.804
0.533,1.0,0.066,0.566
0.285,0.785,0.122,0.622
0.312,0.812,0.297,0.797
0.404,0.904,0.215,0.715
0.224,0.724,0.073,0.573
0.0,0.484,0.21,0.71
0.397,0.897,0.0,0.489
0.275,0.775,0.389,0.889
0.164,0.664,0.417,0.917
0.526,1.0,0.443,0.943
0.452,0.952,0.0,0.489
0.297,0.797,0.289,0.789
0.253,0.753,0.217,0.717
0.195,0.695,0.408,0.908
0.093,0.593,0.356,0.856
0.322,0.822,0.251,0.751
0.2,0.7,0.284,0.784
0.0,0.482,0.0,0.333
0.24,0.74,0.24,0.74
0.0,0.425,0.286,0.786
0.395,0.895,0.223,0.723
0.126,0.626,0.288,0.788
0.135,0.635,0.425,0.925
0.082,0.582,0.175,0.675
0.182,0.682,0.432,0.932
0.231,0.731,0.16,0.66
0.377,0.877,0.366,0.866
0.0,0.498,0.297,0.797
0.37,0.87,0.096,0.596
0.397,0.897,0.087,0.587
0.466,0.966,0.269,0.769
