0.265,0.823,0.061,0.623,0.276,0.923,0.434,0.684,0.697,0.785,0.387,0.675,0.423,0.841,0.0,0.717,0.046,0.406,0.346,0.832,0.0
0.0,0.772,0.327,0.808,0.0,0.55,0.0,0.566,0.269,0.661,0.271,0.77,0.44,0.47,0.553,0.887,0.543,0.655,0.644,0.809,0.0
0.738,1.0,0.321,0.737,0.895,0.989,0.234,0.384,0.288,0.911,0.483,0.865,0.062,0.722,0.174,0.864,0.125,0.511,0.201,0.45,0.0
0.501,1.0,0.494,0.782,0.333,0.787,0.516,0.744,0.365,0.649,0.0,0.277,0.0,-0.051,0.002,0.694,0.353,0.639,0.318,0.816,0.0
0.0,0.754,0.026,0.412,0.586,0.638,0.539,0.617,0.293,0.695,0.0,0.847,0.078,1.0,0.22,0.258,0.217,0.91,0.233,0.805,0.0
0.546,1.0,0.242,0.77,0.555,0.91,0.387,0.891,0.344,0.506,0.439,0.815,0.365,0.986,0.181,0.859,0.189,0.959,0.562,0.642,0.0
0.023,0.621,0.0,0.844,0.217,0.896,0.51,0.606,0.0,0.723,0.0,0.943,0.0,0.913,0.537,0.923,0.096,1.0,0.029,0.771,0.001129064
0.558,0.679,0.264,0.512,0.394,0.878,0.0,0.484,0.104,0.578,0.603,0.764,0.032,0.533,0.258,0.874,0.267,1.0,0.435,0.615,0.0
0.274,0.73,0.264,0.921,0.151,0.949,0.622,0.754,0.0,0.581,0.064,0.817,0.169,1.0,0.365,0.415,0.332,0.768,0.412,0.952,0.0
0.181,1.0,0.033,0.939,0.15,0.677,0.465,0.874,0.273,0.503,0.323,0.413,0.015,0.835,0.193,0.718,0.319,0.368,0.014,0.774,1.721e-06
0.341,0.611,0.236,0.914,0.106,0.182,0.4,1.0,0.388,0.766,0.226,1.0,0.314,0.95,0.171,1.0,0.0,0.741,0.321,0.808,0.000435447
0.651,1.0,0.0,0.64,0.097,0.586,0.192,1.0,0.585,0.609,0.589,0.996,0.149,0.738,0.0,0.629,0.0,0.796,0.392,0.396,0.0
0.206,0.262,0.231,0.499,0.133,0.615,0.078,0.536,0.43,1.0,0.0,0.64,0.673,0.712,0.593,0.641,0.246,0.461,0.433,0.627,0.0
