0.837,0.016,0.239,-0.965,-0.713,0.757,2.58,0.0
-0.415,-0.083,0.272,0.818,0.05,0.553,1.729,0.0
-0.78,0.431,0.585,-0.886,-0.515,0.259,3.234,0.0
-0.995,0.955,0.628,-0.55,-0.689,-0.186,2.92,0.0
-0.505,-0.269,-0.777,-0.882,0.215,-0.428,3.684,0.0
-0.407,-0.104,0.764,0.523,0.023,0.391,2.034,0.0
-0.185,0.961,-0.651,-0.654,0.148,-0.754,3.204,0.0
0.83,0.617,-0.279,0.452,0.779,0.355,3.082,0.0
0.182,0.946,0.573,0.447,-0.496,0.108,2.174,0.0
-0.525,-0.027,0.772,0.928,0.42,-0.028,1.807,0.0
-0.11,0.106,0.369,0.573,-0.589,-0.132,0.118,0.04976
0.231,-0.258,-0.289,-0.317,-0.499,-0.607,1.851,0.0
-0.03,0.637,-0.239,0.121,0.892,-0.86,1.222,6e-05
-0.636,0.874,0.095,-0.61,0.398,0.498,1.165,0.0
0.525,0.478,0.504,-0.554,-0.941,0.111,1.152,0.0
-0.544,-0.045,-0.766,-0.338,0.136,0.501,3.317,0.0
-0.991,-0.308,-0.393,0.937,0.831,-0.313,0.454,0.00022
0.349,0.006,0.545,-0.283,-0.768,0.51,0.157,0.61772
-0.247,0.548,0.067,0.2,-0.88,-0.218,3.051,0.0
-0.391,-0.995,-0.273,0.355,0.583,-0.191,2.898,0.0
-0.535,0.101,-0.748,-0.628,0.943,-0.827,3.125,0.0
0.752,0.744,0.184,0.253,0.666,-0.908,2.261,0.0
0.413,0.691,-0.287,-0.629,0.484,-0.609,1.082,0.0
0.464,-0.397,-0.273,-0.934,-0.414,-0.319,2.545,0.0
0.963,0.783,-0.652,-0.992,-0.96,0.758,4.042,0.0
0.561,-0.554,0.435,-0.856,-0.529,0.261,2.2,0.0
-0.782,-0.634,-0.293,0.244,-0.288,-0.643,1.65,0.0
0.907,0.416,-0.3,-0.715,0.029,-0.388,3.173,0.0
-0.846,0.173,0.936,0.527,0.614,-0.941,1.257,0.0
0.101,0.762,-0.588,-0.915,-0.546,0.21,2.322,0.0
0.733,0.443,0.179,0.549,-0.06,-0.182,3.575,0.0
0.349,0.257,0.481,-0.109,-0.107,0.82,2.776,0.0
0.334,0.713,-0.477,-0.579,-0.094,-0.4,2.113,0.0
-0.203,-0.487,0.306,-0.364,0.082,-0.652,2.501,0.0
0.309,-0.561,0.173,-0.562,-0.593,-0.652,2.907,0.0
-0.217,0.357,0.771,0.777,-0.984,-0.481,0.537,0.00107
-0.129,-0.994,-0.363,0.704,-0.365,0.215,3.619,0.0
-0.526,-0.754,-0.368,-0.967,-0.211,0.22,3.125,0.0
-0.283,-0.99,0.352,-0.137,0.996,-0.22,3.234,0.0
0.792,0.863,-0.108,-0.56,0.809,0.455,1.921,0.00049
0.772,0.572,-0.5,-0.399,0.392,-0.143,1.942,0.0
0.979,0.932,0.814,0.364,-0.577,-0.562,3.138,0.0
-0.318,0.345,0.203,-0.812,-0.002,0.593,3.466,0.0
-0.284,-0.642,-0.469,0.5,-0.542,-0.392,1.646,0.0
0.215,0.516,0.939,0.516,0.921,0.255,3.758,0.0
-0.511,0.614,0.158,-0.388,-0.955,-0.813,0.314,0.00044
-0.093,-0.504,-0.609,-0.095,0.428,0.601,0.69,0.0
0.665,0.3,0.834,0.842,0.175,-0.625,3.924,0.0
-0.086,-0.068,-0.068,-0.475,-0.653,-0.615,-0.223,0.00152
-0.749,-0.72,0.15,0.709,0.862,0.302,3.457,0.0
0.132,-0.066,-0.735,0.124,0.042,-0.275,4.203,0.0
0.627,0.348,-0.29,0.018,-0.138,-0.51,0.69,0.00019
-0.991,0.28,0.534,0.329,0.673,-0.866,1.689,0.0
-0.213,0.554,-0.69,-0.801,0.611,0.693,2.444,0.0
0.157,-0.978,0.941,0.498,-0.526,0.087,1.598,0.0
-0.279,0.989,-0.705,-0.498,0.98,0.392,1.362,0.0
0.015,-0.781,0.64,-0.281,-0.043,0.611,3.662,0.0
0.455,0.888,-0.137,0.992,0.831,0.542,1.886,0.05503
0.719,0.915,0.253,-0.711,0.461,0.56,2.732,0.0
-0.369,-0.844,0.421,-0.277,0.971,0.147,3.741,0.0
0.65,0.935,-0.584,-0.994,-0.127,-0.908,1.013,0.00278
-0.232,0.249,0.875,-0.52,0.794,0.286,0.179,0.90897
-0.111,0.852,-0.491,-0.668,-0.378,-0.327,0.057,0.2616
0.654,0.995,-0.72,0.153,0.932,-0.73,1.502,0.01147
-0.53,0.569,-0.893,0.439,0.634,0.119,3.928,0.0
-0.853,0.503,0.111,-0.164,-0.76,-0.832,2.213,0.0
-0.835,-0.973,0.641,-0.087,-0.557,-0.566,1.471,0.0
-0.993,-0.264,-0.335,0.748,-0.064,-0.246,2.318,0.0
-0.939,-0.125,0.274,-0.377,0.247,-0.913,3.658,0.0
0.377,0.519,0.037,-0.456,-0.179,-0.442,3.156,0.0
0.152,-0.724,-0.509,0.451,-0.026,-0.217,0.864,0.0
-0.677,-0.872,-0.104,0.986,0.946,0.268,1.148,0.0
0.17,-0.625,0.953,-0.06,0.607,0.879,1.113,0.00832
-0.818,0.2,-0.966,0.541,0.467,-0.633,2.514,0.0
-0.946,-0.484,-0.63,0.88,-0.568,-0.919,2.012,0.0
-0.416,-0.815,0.73,-0.109,-0.136,0.549,2.724,0.0
-0.302,-0.764,-0.232,0.466,-0.402,-0.996,1.763,0.0
0.607,-0.025,0.613,-0.941,-0.546,-0.095,0.118,0.48519
-0.79,0.399,-0.022,-0.091,0.439,0.382,4.138,0.0
0.509,-0.715,0.114,-0.201,0.063,0.643,0.794,0.00498
0.597,0.048,0.057,-0.315,0.096,-0.166,3.042,0.0
-0.812,0.875,-0.776,-0.98,0.778,-0.357,1.231,0.0
0.193,-0.26,0.245,0.638,-0.886,-0.201,1.034,0.0
0.367,-0.03,0.593,0.626,-0.242,0.927,3.789,0.0
0.956,-0.356,0.858,-0.692,0.081,0.513,3.968,0.0
0.235,-0.295,0.415,-0.288,0.86,-0.1,2.108,0.0
0.591,-0.932,0.884,0.52,0.678,-0.528,4.199,0.0
0.942,0.056,-0.892,-0.492,-0.813,0.231,0.249,0.28147
0.149,0.899,0.854,0.649,-0.851,-0.454,1.384,9e-05
0.411,0.796,-0.892,-0.134,0.077,-0.776,2.833,0.0
0.504,0.103,0.212,0.247,-0.829,-0.867,2.746,0.0
0.677,-0.578,-0.973,0.526,-0.126,0.152,0.781,0.00048
0.302,0.35,-0.04,0.32,0.762,-0.197,2.706,0.0
0.631,-0.729,-0.163,-0.443,-0.455,0.633,2.776,0.0
0.622,-0.75,-0.794,-0.182,0.336,-0.43,3.627,0.0
0.364,0.782,-0.473,-0.184,-0.92,0.903,1.471,0.00028
-0.311,0.758,0.238,-0.423,0.04,0.938,4.042,0.0
-0.098,-0.864,-0.138,0.804,0.313,0.82,0.646,0.04033
-0.666,0.351,-0.148,0.053,-0.753,0.806,1.798,0.0
0.778,-0.159,0.506,0.819,-0.462,0.26,0.825,0.10836
0.809,-0.473,0.993,-0.502,0.807,0.828,1.842,9e-05
-0.152,0.854,-0.967,0.378,0.469,-0.266,2.134,0.0
-0.869,0.3,0.53,0.895,-0.132,0.624,4.19,0.0
0.938,-0.454,0.647,0.374,-0.971,-0.246,1.152,0.0
-0.499,0.643,0.596,-0.459,0.66,0.67,2.746,0.0
0.505,0.739,0.861,0.111,0.163,0.386,2.388,0.0
-0.845,0.739,-0.897,-0.133,0.651,-0.006,4.26,0.0
-0.86,-0.74,-0.376,-0.375,-0.955,-0.672,-1.829,0.84896
-0.703,0.583,-0.181,-0.95,-0.103,-0.368,0.244,0.00374
0.92,0.262,-0.632,0.182,0.175,-0.998,2.772,0.0
0.394,-0.082,-0.275,0.234,-0.575,-0.136,4.23,0.0
0.295,-0.572,-0.521,0.453,-0.08,-0.352,3.326,0.0
-0.737,0.044,-0.98,-0.592,0.2,-0.669,2.396,0.0
0.546,0.952,-0.509,0.824,-0.314,0.423,0.402,0.87354
-0.406,-0.247,-0.049,-0.923,0.899,0.406,3.819,0.0
0.49,0.658,0.384,0.221,-0.174,0.352,3.33,0.0
-0.672,0.305,0.026,-0.569,0.201,0.822,1.096,0.0
-0.32,-0.468,-0.39,-0.853,0.935,0.189,0.131,0.00033
-0.78,-0.457,0.076,0.447,0.382,-0.592,3.601,0.0
-0.886,0.676,-0.289,0.063,-0.224,0.981,2.335,0.0
0.853,0.404,0.542,-0.929,0.169,0.482,1.244,0.02705
0.873,-0.956,0.884,0.201,-0.584,-0.233,0.873,0.0001
-0.908,-0.45,0.005,0.378,-0.167,0.119,2.196,0.0
