-0.791,0.393,0.084,-0.336,-0.611,0.704,0.516,-0.618,0.573,0.745,0.49,0.12401
0.89,0.103,0.607,-0.776,-0.38,0.516,-0.082,0.091,0.075,-0.58,-0.257,0.99995
0.67,-0.179,-0.974,0.554,-0.89,-0.925,-0.074,-0.875,-0.132,-0.13,-1.535,0.81102
-0.37,-0.622,-0.937,-0.117,-0.954,-0.864,-0.107,0.519,-0.32,0.282,-0.786,0.31531
0.797,-0.635,-0.785,-0.125,0.734,-0.62,-0.923,-0.72,0.092,0.851,-0.398,0.00278
-0.968,-0.856,0.346,-0.072,0.158,0.474,-0.94,0.374,0.717,0.203,-0.287,0.08723
0.659,-0.95,-0.702,-0.883,0.662,-0.804,0.951,-0.044,0.703,0.87,1.993,0.00056
0.434,-0.092,0.909,0.369,-0.562,0.886,-0.468,0.33,0.067,0.831,0.816,0.39136
-0.687,0.987,0.441,0.492,-0.485,0.31,0.484,0.209,0.608,-0.427,0.485,0.96289
0.409,-0.513,0.189,0.668,-0.65,-0.219,0.875,0.452,0.43,0.279,1.677,0.05289
-0.082,0.634,0.191,0.082,0.924,-0.458,-0.54,0.627,-0.228,0.683,0.831,0.1807
0.438,0.711,-0.165,-0.469,0.442,0.699,-0.61,-0.851,0.799,0.509,-0.08,0.62248
-0.025,-0.13,-0.618,-0.059,-0.244,0.605,0.619,-0.669,0.292,0.663,0.59,0.0802
-0.127,-0.466,-0.547,0.06,0.763,-0.793,-0.258,0.349,0.389,-0.031,0.312,0.0101
-0.146,-0.471,0.091,-0.852,-0.288,0.069,-0.032,0.848,-0.106,0.701,0.928,0.01447
0.791,-0.738,-0.273,-0.071,0.735,0.758,-0.934,0.818,0.131,0.27,0.612,0.47238
-0.268,0.996,-0.934,0.284,-0.888,-0.924,0.273,-0.73,0.687,0.59,0.073,0.20786
0.094,-0.235,0.696,-0.664,0.464,-0.623,0.569,-0.068,0.348,0.348,0.977,0.00509
0.438,-0.096,0.368,0.133,0.187,0.535,-0.447,0.729,-0.453,-0.333,0.047,0.99797
0.849,-0.062,0.223,0.164,-0.651,-0.155,0.806,0.328,0.031,0.525,1.659,0.07511
