-0.905,-0.793,0.697,0.227,1.855,0.0
0.188,0.664,-0.29,-0.493,1.802,0.0
0.505,-0.93,0.889,0.53,2.86,0.0
0.668,0.455,-0.258,0.245,1.011,0.00338
-0.956,0.134,-0.417,-0.219,0.928,0.0
-0.632,-0.111,0.865,-0.875,0.788,0.0
0.069,-0.584,0.756,-0.317,1.546,0.0
0.081,-0.478,0.283,0.226,0.161,0.04126
-0.485,-0.798,-0.936,0.144,2.099,0.0
0.846,0.945,-0.488,-0.245,2.914,0.0
-0.125,0.948,0.435,-0.528,1.353,0.0
0.048,-0.848,-0.491,-0.187,0.205,0.0
0.542,-0.026,-0.971,-0.149,1.817,0.0
0.93,-0.841,0.04,0.286,0.36,0.36145
0.907,-0.178,-0.256,-0.28,2.5,0.0
0.525,-0.446,-0.357,-0.022,1.275,0.0
0.39,0.324,-0.687,0.721,0.928,0.0032
0.988,0.113,-0.621,-0.132,0.003,0.97738
-0.094,0.77,-0.956,-0.195,2.173,0.0
-0.91,-0.825,-0.795,0.214,0.407,0.0
0.266,0.231,0.028,-0.492,1.629,0.0
0.042,-0.671,0.199,0.414,1.733,0.0
-0.925,-0.89,-0.575,-0.002,-1.43,0.87268
-0.703,-0.916,0.319,0.663,2.554,0.0
-0.244,0.525,0.479,0.176,0.41,0.20777
-0.414,0.151,-0.407,0.244,0.193,0.0
-0.119,0.888,0.973,-0.483,1.707,0.0
-0.113,-0.522,-0.406,-0.979,-1.668,1.0
0.115,0.168,0.345,-0.479,0.318,0.00759
0.64,0.831,-0.105,0.083,2.625,0.0
-0.24,0.437,-0.102,-0.758,2.013,0.0
0.992,-0.748,0.262,0.47,0.595,0.22587
-0.098,0.51,-0.831,-0.027,0.592,0.0
0.893,0.248,-0.278,0.974,0.529,0.80231
0.96,0.013,0.739,-0.708,0.44,0.77607
-0.016,0.012,-0.615,0.426,1.852,0.0
0.791,0.692,0.268,-0.933,0.131,0.9774
0.738,0.965,0.76,-0.936,0.827,0.43872
0.255,-0.002,0.896,-0.054,1.992,0.0
0.332,-0.489,0.311,-0.75,1.448,0.0
0.79,0.678,-0.612,-0.118,2.825,0.0
0.338,-0.519,-0.691,-0.262,1.278,0.0
0.818,0.68,0.91,-0.209,1.927,0.0
-0.565,-0.462,0.292,-0.926,0.981,0.0
-0.725,0.615,-0.65,0.63,0.919,0.0
-0.134,0.818,0.411,-0.886,1.029,0.0
0.077,0.53,-0.742,0.687,0.428,0.20917
-0.232,0.903,0.579,0.649,2.167,0.0
0.3,-0.166,0.257,-0.097,1.965,0.0
0.247,0.988,0.491,0.872,2.911,0.0
0.434,0.421,-0.404,-0.16,2.613,0.0
0.977,0.225,0.921,0.132,0.904,0.39647
0.871,0.41,-0.244,0.134,1.436,0.0
-0.092,0.102,0.802,-0.78,0.009,0.54016
-0.412,-0.465,-0.616,0.957,0.838,0.0
0.314,-0.555,0.726,-0.149,2.958,0.0
-0.116,-0.915,0.037,-0.953,2.56,0.0
-0.034,0.203,-0.211,-0.568,1.145,0.0
-0.103,0.474,-0.579,0.034,2.688,0.0
0.696,-0.193,0.984,-0.592,2.373,0.0
0.353,0.495,-0.283,-0.08,2.043,0.0
-0.825,0.9,0.58,-0.606,0.479,0.07187
-0.239,-0.701,0.201,-0.222,1.614,0.0
-0.509,0.687,0.024,0.521,1.061,0.0
-0.867,-0.437,0.206,0.409,1.576,0.0
0.964,0.952,0.513,0.236,0.749,0.84169
-0.468,-0.443,0.537,0.834,2.536,0.0
-0.368,0.82,0.656,-0.394,2.486,0.0
-0.859,0.807,-0.063,-0.881,2.084,0.0
0.946,-0.05,0.438,0.564,1.733,0.0
-0.062,-0.055,0.454,0.183,0.164,0.08343
0.844,-0.223,0.443,-0.57,0.226,0.8236
0.862,-0.295,0.861,-0.642,2.575,0.0
0.268,0.113,-0.643,-0.042,0.398,0.0
-0.147,-0.52,-0.018,-0.538,-2.506,1.0
-0.035,-0.539,0.903,0.869,0.363,0.1294
0.133,-0.203,-0.48,0.532,0.922,0.0
0.805,-0.902,0.995,-0.686,1.308,0.0
-0.573,0.777,0.06,-0.549,2.747,0.0
0.395,-0.773,-0.696,-0.888,0.889,0.0
-0.959,0.467,-0.126,-0.853,0.913,0.0
0.297,0.556,-0.701,0.671,0.782,0.04854
-0.478,0.874,0.441,0.239,1.1,9e-05
0.463,-0.68,0.375,-0.538,2.144,0.0
-0.042,-0.77,-0.875,0.342,2.848,0.0
0.442,-0.427,0.293,-0.709,0.092,0.30071
-0.799,-0.675,0.338,0.685,2.013,0.0
0.906,0.868,-0.166,-0.278,0.113,0.9951
-0.869,0.97,-0.935,0.508,2.851,0.0
0.055,0.661,-0.421,-0.381,2.283,0.0
-0.404,0.057,0.569,0.21,0.832,0.0
-0.514,0.718,-0.076,0.303,2.72,0.0
0.81,0.405,0.072,-0.134,0.282,0.97992
-0.662,0.121,0.186,-0.082,0.485,0.0
-0.696,0.951,0.007,0.468,0.517,0.14837
0.631,0.168,0.089,-0.885,0.065,0.90958
-0.93,-0.704,0.342,0.063,2.643,0.0
-0.653,-0.631,0.408,0.808,1.873,0.0
-0.34,-0.505,-0.992,-0.207,-2.723,1.0
0.817,0.23,-0.177,0.828,1.085,0.03495
-0.737,-0.435,-0.807,0.198,0.238,0.0
0.498,-0.989,0.789,-0.891,0.143,0.21474
-0.753,0.584,0.959,-0.223,1.573,0.0
0.084,0.246,0.903,0.952,0.731,0.15322
-0.733,0.265,0.713,0.022,0.175,0.05719
0.775,0.001,-0.506,-0.402,1.837,0.0
-0.038,-0.271,0.713,-0.674,0.803,0.0
-0.852,0.324,0.393,-0.598,1.186,0.0
0.2,0.718,0.539,-0.508,0.381,0.52321
-0.402,-0.018,0.075,-0.591,1.62,0.0
