0.09,0.463,0.39,0.546,0.967,0.028,0.384,0.246,1.697,2.0,0.99987
0.05,0.029,0.074,0.883,0.331,0.17,0.626,0.314,2.003,2.0,1.0
0.067,0.971,0.273,0.945,0.941,0.21,0.534,0.007,2.186,2.0,1.0
0.31,0.394,0.281,0.786,0.993,0.37,0.919,0.015,2.529,2.0,1.0
0.564,0.255,0.255,0.576,0.112,0.384,0.184,0.294,1.805,2.0,1.0
0.224,0.888,0.945,0.831,0.32,0.679,0.627,0.471,1.807,2.0,1.0
0.169,0.714,0.129,0.916,0.621,0.954,0.186,0.919,1.544,2.0,0.88483
0.633,0.218,0.2,0.723,0.697,0.551,0.898,0.708,1.75,2.0,1.0
0.863,0.569,0.649,0.619,0.664,0.165,0.082,0.332,2.37,2.0,1.0
0.832,0.537,0.367,0.861,0.938,0.906,0.08,0.062,1.661,2.0,0.46113
0.921,0.345,0.134,0.727,0.572,0.738,0.71,0.779,0.649,2.0,0.04595
0.844,0.713,0.492,0.21,0.453,0.854,0.221,0.262,1.295,2.0,0.66833
0.3,0.708,0.146,0.613,0.438,0.453,0.331,0.927,2.381,2.0,1.0
0.449,0.784,0.919,0.361,0.755,0.706,0.327,0.392,0.776,2.0,0.00063
0.601,0.667,0.981,0.478,0.563,0.891,0.552,0.592,1.924,2.0,1.0
0.388,0.63,0.39,0.776,0.665,0.809,0.01,0.594,1.513,2.0,0.94232
0.288,0.93,0.409,0.555,0.52,0.242,0.768,0.584,0.432,2.0,0.00219
0.044,0.988,0.643,0.754,0.79,0.301,0.853,0.639,2.414,2.0,1.0
0.329,0.886,0.135,0.748,0.979,0.336,0.711,0.743,1.554,2.0,0.99998
0.394,0.41,0.873,0.823,0.926,0.137,0.246,0.419,2.69,2.0,1.0
0.709,0.147,0.305,0.17,0.129,0.688,0.142,0.736,2.771,2.0,1.0
0.476,0.861,0.599,0.955,0.554,0.266,0.709,0.851,1.82,2.0,1.0
0.862,0.961,0.274,0.365,0.219,0.18,0.354,0.586,2.246,2.0,1.0
0.978,0.632,0.967,0.027,0.953,0.076,0.574,0.326,0.122,2.0,0.0
0.472,0.312,0.799,0.864,0.082,0.955,0.954,0.19,1.045,2.0,0.00409
0.064,0.892,0.421,0.719,0.848,0.14,0.262,0.98,1.776,2.0,1.0
0.718,0.831,0.887,0.685,0.625,0.542,0.245,0.907,2.472,2.0,1.0
0.794,0.149,0.274,0.723,0.9,0.464,0.323,0.507,2.631,2.0,1.0
0.288,0.888,0.318,0.07,0.112,0.537,0.799,0.498,0.614,2.0,0.08506
0.55,0.316,0.572,0.833,0.838,0.236,0.575,0.532,0.364,2.0,0.0
0.688,0.039,0.185,0.225,0.739,0.046,0.353,0.665,0.804,2.0,0.14178
0.009,0.24,0.519,0.665,0.124,0.128,0.615,0.674,1.07,2.0,0.67769
0.9,0.185,0.471,0.204,0.025,0.415,0.291,0.892,2.473,2.0,1.0
0.233,0.94,0.864,0.099,0.909,0.959,0.146,0.318,2.071,2.0,1.0
0.901,0.424,0.569,0.164,0.114,0.271,0.332,0.912,2.43,2.0,1.0
0.513,0.373,0.054,0.148,0.486,0.352,0.075,0.778,2.239,2.0,1.0
0.789,0.82,0.313,0.89,0.023,0.132,0.253,0.322,1.634,2.0,0.99935
0.099,0.47,0.817,0.546,0.988,0.354,0.591,0.974,2.749,2.0,1.0
0.682,0.123,0.407,0.236,0.625,0.692,0.073,0.794,0.167,2.0,0.0
0.79,0.026,0.47,0.467,0.446,0.996,0.657,0.596,0.979,2.0,0.33722
0.881,0.071,0.392,0.522,0.9,0.636,0.547,0.641,0.504,2.0,0.00024
0.003,0.496,0.778,0.72,0.468,0.927,0.633,0.517,1.907,2.0,1.0
0.661,0.28,0.098,0.352,0.188,0.571,0.784,0.052,0.535,2.0,0.0
0.633,0.452,0.164,0.427,0.129,0.624,0.743,0.156,1.615,2.0,1.0
0.82,0.804,0.642,0.927,0.234,0.745,0.858,0.09,2.751,2.0,1.0
0.764,0.214,0.857,0.172,0.967,0.504,0.596,0.106,1.839,2.0,1.0
0.422,0.991,0.492,0.204,0.261,0.382,0.491,0.867,1.628,2.0,1.0
